Type,Result,Values,Always,Never
2,3+,12,12,345678
2,4+,13,13,245678
2,5+,"14,23",,5678
2,6+,"15,24",,3678
2,7+,"16,25,34",,78
2,8+,"17,26,35",,48
2,9+,"18,27,36,45",,
2,10+,"28,37,46",,15
2,11+,"38,47,56",,12
2,12+,"48,57",,1236
2,13+,"58,67",,1234
2,14+,68,68,123457
2,15+,78,78,123456
2,1-,"12,23,34,45,56,67,78",,
2,2-,"13,24,35,46,57,68",,
2,3-,"14,25,36,47,58",,
2,4-,"15,26,37,48",,
2,5-,"16,27,38",,45
2,6-,"17,28",,3456
2,7-,18,18,234567
2,2x,12,12,345678
2,3x,13,13,245678
2,4x,14,14,235678
2,5x,15,15,234678
2,6x,"16,23",,4578
2,7x,17,17,234568
2,8x,"18,24",,3567
2,10x,25,25,134678
2,12x,"26,34",,1578
2,14x,27,27,134568
2,15x,35,35,124678
2,16x,28,28,134567
2,18x,36,36,124578
2,20x,45,45,123678
2,21x,37,37,124568
2,24x,"38,46",,1257
2,28x,47,47,123568
2,30x,56,56,123478
2,32x,48,48,123567
2,35x,57,57,123468
2,40x,58,58,123467
2,42x,67,67,123458
2,48x,68,68,123457
2,56x,78,78,123456
2,2:,"12,24,36,48",,57
2,3:,"13,26",,4578
2,4:,"14,28",,3567
2,5:,15,15,234678
2,6:,16,16,234578
2,7:,17,17,234568
2,8:,18,18,234567
3,6+,123,123,45678
3,7+,124,124,35678
3,8+,"125,134",1,678
3,9+,"126,135,234",,78
3,10+,"127,136,145,235",,8
3,11+,"128,137,146,236,245",,
3,12+,"138,147,156,237,246,345",,
3,13+,"148,157,238,247,256,346",,
3,14+,"158,167,248,257,347,356",,
3,15+,"168,258,267,348,357,456",,
3,16+,"178,268,358,367,457",,
3,17+,"278,368,458,467",,1
3,18+,"378,468,567",,12
3,19+,"478,568",8,123
3,20+,578,578,12346
3,21+,678,678,12345
3,4+L,112,12,345678
3,5+L,"113,122",1,45678
3,6+L,"114,123",1,5678
3,7+L,"115,124,133,223",,678
3,8+L,"116,125,134,224,233",,78
3,9+L,"117,126,135,144,225,234",,8
3,10+L,"118,127,136,145,226,235,244,334",,
3,11+L,"128,137,146,155,227,236,245,335,344",,
3,12+L,"138,147,156,228,237,246,255,336,345",,
3,13+L,"148,157,166,238,247,256,337,346,355,445",,
3,14+L,"158,167,248,257,266,338,347,356,446,455",,
3,15+L,"168,177,258,267,348,357,366,447,456",,
3,16+L,"178,268,277,358,367,448,457,466,556",,
3,17+L,"188,278,368,377,458,467,557,566",,
3,18+L,"288,378,468,477,558,567",,1
3,19+L,"388,478,568,577,667",,12
3,20+L,"488,578,668,677",,123
3,21+L,"588,678",8,1234
3,22+L,"688,778",8,12345
3,23+L,788,78,123456
3,6x,123,123,45678
3,8x,124,124,35678
3,10x,125,125,34678
3,12x,"126,134",1,578
3,14x,127,127,34568
3,15x,135,135,24678
3,16x,128,128,34567
3,18x,136,136,24578
3,20x,145,145,23678
3,21x,137,137,24568
3,24x,"138,146,234",,57
3,28x,147,147,23568
3,30x,"156,235",5,478
3,32x,148,148,23567
3,35x,157,157,23468
3,36x,236,236,14578
3,40x,"158,245",5,367
3,42x,"167,237",7,458
3,48x,"168,238,246",,57
3,56x,"178,247",7,356
3,60x,"256,345",5,178
3,64x,248,248,13567
3,70x,257,257,13468
3,72x,346,346,12578
3,80x,258,258,13467
3,84x,"267,347",7,158
3,90x,356,356,12478
3,96x,"268,348",8,157
3,105x,357,357,12468
3,112x,278,278,13456
3,120x,"358,456",5,127
3,126x,367,367,12458
3,140x,457,457,12368
3,144x,368,368,12457
3,160x,458,458,12367
3,168x,"378,467",7,125
3,192x,468,468,12357
3,210x,567,567,12348
3,224x,478,478,12356
3,240x,568,568,12347
3,280x,578,578,12346
3,336x,678,678,12345
3,2xL,112,12,345678
3,3xL,113,13,245678
3,4xL,"114,122",1,35678
3,5xL,115,15,234678
3,6xL,"116,123",1,4578
3,7xL,117,17,234568
3,8xL,"118,124",1,3567
3,9xL,133,13,245678
3,10xL,125,125,34678
3,12xL,"126,134,223",,578
3,14xL,127,127,34568
3,15xL,135,135,24678
3,16xL,"128,144,224",,3567
3,18xL,"136,233",3,4578
3,20xL,"145,225",5,3678
3,21xL,137,137,24568
3,24xL,"138,146,226,234",,57
3,25xL,155,15,234678
3,28xL,"147,227",7,3568
3,30xL,"156,235",5,478
3,32xL,"148,228,244",,3567
3,35xL,157,157,23468
3,36xL,"166,236,334",,578
3,40xL,"158,245",5,367
3,42xL,"167,237",7,458
3,45xL,335,35,124678
3,48xL,"168,238,246,344",,57
3,49xL,177,17,234568
3,50xL,255,25,134678
3,54xL,336,36,124578
3,56xL,"178,247",7,356
3,60xL,"256,345",5,178
3,63xL,337,37,124568
3,64xL,"188,248",8,3567
3,70xL,257,257,13468
3,72xL,"266,338,346",,157
3,75xL,355,35,124678
3,80xL,"258,445",5,1367
3,84xL,"267,347",7,158
3,90xL,356,356,12478
3,96xL,"268,348,446",,157
3,98xL,277,27,134568
3,100xL,455,45,123678
3,105xL,357,357,12468
3,108xL,366,36,124578
3,112xL,"278,447",7,1356
3,120xL,"358,456",5,127
3,126xL,367,367,12458
3,128xL,"288,448",8,13567
3,140xL,457,457,12368
3,144xL,"368,466",6,1257
3,147xL,377,37,124568
3,150xL,556,56,123478
3,160xL,458,458,12367
3,168xL,"378,467",7,125
3,175xL,557,57,123468
3,180xL,566,56,123478
3,192xL,"388,468",8,1257
3,196xL,477,47,123568
3,200xL,558,58,123467
3,210xL,567,567,12348
3,224xL,478,478,12356
3,240xL,568,568,12347
3,245xL,577,57,123468
3,252xL,667,67,123458
3,256xL,488,48,123567
3,280xL,578,578,12346
3,288xL,668,68,123457
3,294xL,677,67,123458
3,320xL,588,58,123467
3,336xL,678,678,12345
3,384xL,688,68,123457
3,392xL,778,78,123456
3,448xL,788,78,123456
4,10+,1234,1234,5678
4,11+,1235,1235,4678
4,12+,"1236,1245",12,78
4,13+,"1237,1246,1345",1,8
4,14+,"1238,1247,1256,1346,2345",,
4,15+,"1248,1257,1347,1356,2346",,
4,16+,"1258,1267,1348,1357,1456,2347,2356",,
4,17+,"1268,1358,1367,1457,2348,2357,2456",,
4,18+,"1278,1368,1458,1467,2358,2367,2457,3456",,
4,19+,"1378,1468,1567,2368,2458,2467,3457",,
4,20+,"1478,1568,2378,2468,2567,3458,3467",,
4,21+,"1578,2478,2568,3468,3567",,
4,22+,"1678,2578,3478,3568,4567",,
4,23+,"2678,3578,4568",8,1
4,24+,"3678,4578",78,12
4,25+,4678,4678,1235
4,26+,5678,5678,1234
4,24x,1234,1234,5678
4,30x,1235,1235,4678
4,36x,1236,1236,4578
4,40x,1245,1245,3678
4,42x,1237,1237,4568
4,48x,"1238,1246",12,57
4,56x,1247,1247,3568
4,60x,"1256,1345",15,78
4,64x,1248,1248,3567
4,70x,1257,1257,3468
4,72x,1346,1346,2578
4,80x,1258,1258,3467
4,84x,"1267,1347",17,58
4,90x,1356,1356,2478
4,96x,"1268,1348",18,57
4,105x,1357,1357,2468
4,112x,1278,1278,3456
4,120x,"1358,1456,2345",5,7
4,126x,1367,1367,2458
4,140x,1457,1457,2368
4,144x,"1368,2346",36,57
4,160x,1458,1458,2367
4,168x,"1378,1467,2347",7,5
4,180x,2356,2356,1478
4,192x,"1468,2348",48,57
4,210x,"1567,2357",57,48
4,224x,1478,1478,2356
4,240x,"1568,2358,2456",5,7
4,252x,2367,2367,1458
4,280x,"1578,2457",57,36
4,288x,2368,2368,1457
4,320x,2458,2458,1367
4,336x,"1678,2378,2467",7,5
4,360x,3456,3456,1278
4,384x,2468,2468,1357
4,420x,"2567,3457",57,18
4,448x,2478,2478,1356
4,480x,"2568,3458",58,17
4,504x,3467,3467,1258
4,560x,2578,2578,1346
4,576x,3468,3468,1257
4,630x,3567,3567,1248
4,672x,"2678,3478",78,15
4,720x,3568,3568,1247
4,840x,"3578,4567",57,12
4,960x,4568,4568,1237
4,1008x,3678,3678,1245
4,1120x,4578,4578,1236
4,1344x,4678,4678,1235
4,1680x,5678,5678,1234
5,15+,12345,12345,678
5,16+,12346,12346,578
5,17+,"12347,12356",123,8
5,18+,"12348,12357,12456",12,
5,19+,"12358,12367,12457,13456",1,
5,20+,"12368,12458,12467,13457,23456",,
5,21+,"12378,12468,12567,13458,13467,23457",,
5,22+,"12478,12568,13468,13567,23458,23467",,
5,23+,"12578,13478,13568,14567,23468,23567",,
5,24+,"12678,13578,14568,23478,23568,24567",,
5,25+,"13678,14578,23578,24568,34567",,
5,26+,"14678,23678,24578,34568",8,
5,27+,"15678,24678,34578",78,
5,28+,"25678,34678",678,1
5,29+,35678,35678,124
5,30+,45678,45678,123
5,120x,12345,12345,678
5,144x,12346,12346,578
5,168x,12347,12347,568
5,180x,12356,12356,478
5,192x,12348,12348,567
5,210x,12357,12357,468
5,240x,"12358,12456",125,7
5,252x,12367,12367,458
5,280x,12457,12457,368
5,288x,12368,12368,457
5,320x,12458,12458,367
5,336x,"12378,12467",127,5
5,360x,13456,13456,278
5,384x,12468,12468,357
5,420x,"12567,13457",157,8
5,448x,12478,12478,356
5,480x,"12568,13458",158,7
5,504x,13467,13467,258
5,560x,12578,12578,346
5,576x,13468,13468,257
5,630x,13567,13567,248
5,672x,"12678,13478",178,5
5,720x,"13568,23456",356,7
5,840x,"13578,14567,23457",57,
5,960x,"14568,23458",458,7
5,1008x,"13678,23467",367,5
5,1120x,14578,14578,236
5,1152x,23468,23468,157
5,1260x,23567,23567,148
5,1344x,"14678,23478",478,5
5,1440x,23568,23568,147
5,1680x,"15678,23578,24567",57,
5,1920x,24568,24568,137
5,2016x,23678,23678,145
5,2240x,24578,24578,136
5,2520x,34567,34567,128
5,2688x,24678,24678,135
5,2880x,34568,34568,127
5,3360x,"25678,34578",578,1
5,4032x,34678,34678,125
5,5040x,35678,35678,124
5,6720x,45678,45678,123
6,21+,123456,123456,78
6,22+,123457,123457,68
6,23+,"123458,123467",1234,
6,24+,"123468,123567",1236,
6,25+,"123478,123568,124567",12,
6,26+,"123578,124568,134567",15,
6,27+,"123678,124578,134568,234567",,
6,28+,"124678,134578,234568",48,
6,29+,"125678,134678,234578",78,
6,30+,"135678,234678",3678,
6,31+,"145678,235678",5678,
6,32+,245678,245678,13
6,33+,345678,345678,12
6,720x,123456,123456,78
6,840x,123457,123457,68
6,960x,123458,123458,67
6,1008x,123467,123467,58
6,1152x,123468,123468,57
6,1260x,123567,123567,48
6,1344x,123478,123478,56
6,1440x,123568,123568,47
6,1680x,"123578,124567",1257,
6,1920x,124568,124568,37
6,2016x,123678,123678,45
6,2240x,124578,124578,36
6,2520x,134567,134567,28
6,2688x,124678,124678,35
6,2880x,134568,134568,27
6,3360x,"125678,134578",1578,
6,4032x,134678,134678,25
6,5040x,"135678,234567",3567,
6,5760x,234568,234568,17
6,6720x,"145678,234578",4578,
6,8064x,234678,234678,15
6,10080x,235678,235678,14
6,13440x,245678,245678,13
6,20160x,345678,345678,12
7,28+,1234567,1234567,8
7,29+,1234568,1234568,7
7,30+,1234578,1234578,6
7,31+,1234678,1234678,5
7,32+,1235678,1235678,4
7,33+,1245678,1245678,3
7,34+,1345678,1345678,2
7,35+,2345678,2345678,1
7,5040x,1234567,1234567,8
7,5760x,1234568,1234568,7
7,6720x,1234578,1234578,6
7,8064x,1234678,1234678,5
7,10080x,1235678,1235678,4
7,13440x,1245678,1245678,3
7,20160x,1345678,1345678,2
7,40320x,2345678,2345678,1
8,36+,12345678,12345678,
8,40320x,12345678,12345678,
